elapsedTimeNanoSec, speed, direction
3237091457,-0.0,-0.24551524221897125
3246019686,-0.0,-0.24551524221897125
3247747915,-0.0,-0.24551524221897125
3256564790,-0.0,-0.24551524221897125
3258267030,-0.0,-0.24551524221897125
3267164686,-0.0,-0.24551524221897125
3268760572,-0.0,-0.24551524221897125
3277748488,-0.0,-0.24551524221897125
3279249634,-0.0,-0.24551524221897125
3288364113,-0.0,-0.24551524221897125
3289812499,-0.0,-0.24551524221897125
3298934217,-0.0,-0.24551524221897125
3301991353,-0.0,-0.24551524221897125
3309403124,-0.0,-0.24551524221897125
3312446405,-0.0,-0.24551524221897125
3319877967,-0.0,-0.24551524221897125
3323021561,-0.0,-0.24551524221897125
3330395051,-0.0,-0.24551524221897125
3333467759,-0.0,-0.24551524221897125
3341059426,-0.0,-0.24551524221897125
3344173853,-0.0,-0.24551524221897125
3351474738,-0.0,-0.24551524221897125
3354608540,-0.0,-0.24551524221897125
3362018436,-0.0,-0.24551524221897125
3365116509,-0.0,-0.24551524221897125
3372436978,-0.0,-0.24551524221897125
3375515519,-0.0,-0.24551524221897125
3383016561,-0.0,-0.24551524221897125
3386047134,-0.0,-0.24551524221897125
3393444842,-0.0,-0.24551524221897125
3397667759,-0.0,-0.24551524221897125
3403918280,-0.0,-0.24551524221897125
3408204321,-0.0,-0.24551524221897125
3414375259,-0.0,-0.24551524221897125
3418957030,-0.0,-0.24551524221897125
3424975363,-0.0,-0.24551524221897125
3429540259,-0.0,-0.24551524221897125
3435832238,-0.0,-0.24551524221897125
3440026249,-0.0,-0.2538590133190155
3479328644,-0.0,-0.29140594601631165
3515181144,-0.0,-0.29140594601631165
3515451561,-0.0,-0.29140594601631165
3525630676,-0.0,-0.3164372146129608
3553367863,-0.0,-0.3164372146129608
3553665363,-0.0,-0.3164372146129608
3563929165,-0.0,-0.34981226921081543
3584969790,-0.0,-0.34981226921081543
3585198280,-0.0,-0.34981226921081543
3595287811,-0.0,-0.34981226921081543
3595616926,-0.0,-0.34981226921081543
3605712290,-0.0,-0.36232790350914
3626723436,-0.0,-0.36232790350914
3626970467,-0.0,-0.36232790350914
3637006561,-0.0,-0.36232790350914
3637344321,-0.0,-0.4040467441082001
3681075155,-0.0,-0.4374217689037323
3701132655,-0.0,-0.4374217689037323
3701562915,-0.0,-0.4374217689037323
3711532863,-0.0,-0.4374217689037323
3712149582,-0.0,-0.4374217689037323
3721968176,-0.0,-0.45828118920326233
3765316092,-0.0,-0.46245306730270386
3807206717,-0.0,-0.4707968235015869
3843376040,-0.0,-0.4707968235015869
3843881300,-0.0,-0.4707968235015869
3853982707,-0.0,-0.4707968235015869
3854869373,-0.0,-0.4707968235015869
3864747863,-0.0,-0.4707968235015869
3865829946,-0.0,-0.4707968235015869
3877014686,-0.0,-0.4707968235015869
3877494425,-0.0,-0.4707968235015869
3887421821,-0.0,-0.4707968235015869
3888026092,-0.0,-0.4707968235015869
3898076925,-0.0,-0.4707968235015869
3898981717,-0.0,-0.4707968235015869
3908847759,-0.0,-0.4707968235015869
3911157498,-0.0,-0.4707968235015869
3921039842,-0.0,-0.4707968235015869
3921749946,-0.0,-0.4707968235015869
3931432134,-0.0,-0.4707968235015869
3932324842,-0.0,-0.4707968235015869
3942008019,-0.0,-0.4707968235015869
3942787082,-0.0,-0.4707968235015869
3952506613,-0.0,-0.4707968235015869
3953244269,-0.0,-0.4707968235015869
3963050311,-0.0,-0.4707968235015869
3963673905,-0.0,-0.4707968235015869
